#Film:	Double Indemnity
#Scene:	Telefonat
#FPS:	24
#Context:	person§Walter, place§the buro, object§the door, object§the phone, 
#EntityList:	object§Letter, person§Keyes, object§a file, object§another Letter, person§Mrs. Dietrichsen, object§a cigarette, object§a cup, person§Walter, place§the buro, object§the door, object§the phone, 
0_1	full_shot	false	introduce	object§Letter	
0_2	full_shot	false	action	person§Walter	opens the		object§Letter
0_3	full_shot	false	action	person§Walter	reads the		object§Letter
0_4	full_shot	false	introduce	person§Keyes	
0_5	full_shot	false	action	person§Keyes	enters		place§the buro
0_6	full_shot	false	introduce	object§a file	
4849_13	american_shot	false	action	person§Walter	lights		object§a cigarette
4849_14	american_shot	false	says	person§Keyes	bla	person§Walter
4849_15	american_shot	false	expresses	person§Keyes	disappointment
4849_16	american_shot	false	says	person§Keyes	bla	person§Walter
4849_17	american_shot	false	action	person§Keyes	leaves		place§the buro
6710_1	long_shot	false	action	person§Walter	closes		object§the door
6710_2	long_shot	false	action	person§Walter	fetches something to drink	
6710_3	long_shot	false	introduce	object§a cup	
6710_4	long_shot	false	action	person§Walter	drinks	
6710_5	long_shot	false	action	person§Walter	throws away		object§a cup
6710_6	long_shot	false	action	person§Walter	walks to		object§the door
6710_7	long_shot	false	action	person§Walter	leaves		place§the buro
